"CATEGORIE","LIBELLE","MOT_DIRECTEUR","STATUT","COMMUNE","RIVOLI","TENANT","ABOUTISSANT","BI_MIN","BP_MIN","BI_MAX","BP_MAX"
"Avenue","Avenue de la Jonquière","Jonquière","PUBLIQUE","ST-HERBLAIN","1390","ST-HERBLAIN Boulevard du Tertre","ST-HERBLAIN Avenue de la Branchoire","1","2","45","16"
"Rue","Rue de Beaulieu","Beaulieu","PUBLIQUE","THOUARE-SUR-LOIRE","0028","","THOUARE-SUR-LOIRE Rue du Belem","111","22","1107","1114"
"Impasse","Impasse de l'Espéranto","Espéranto","PUBLIQUE","ST-HERBLAIN","2096","ST-HERBLAIN Allée Henry Ford","Impasse","1","2","1","2"
"Rue","Rue Hélène Boucher","Boucher","PUBLIQUE","ST-HERBLAIN","0344","ST-HERBLAIN Impasse Bertie Albrecht","ST-HERBLAIN Chemin de la Solvardière","1","2","17","10"
"Rue","Rue Etienne Larchey","Larchey","PUBLIQUE","NANTES","2940","NANTES Rue de la Ville en Pierre","NANTES Rue Dominique Chateigner","1","2","27","30"
"Avenue","Avenue de l'Etoile de Mer","Mer","PRIVEE","NANTES","2943","NANTES Route de Sainte Luce","NANTES Avenue des Iris","1","2","41","36"
"Rue","Rue Eugène Varlin","Varlin","PUBLIQUE","NANTES","2981","NANTES Rue Eugène Varlin","NANTES Rue Gabriel Péri","1","2","1","2"
"Rue","Rue Evêque Emilien","Emilien","PUBLIQUE","NANTES","2996","NANTES Rue Général Buat","NANTES Place des Enfants Nantais","1","2","5","12"
"Avenue","Avenue de l'Everest","Everest","PRIVEE","NANTES","2998","NANTES Rue de la Haltinière","","3","2","43","22"
"Chemin","Chemin des Farfadets","Farfadets","PUBLIQUE","NANTES","3029","NANTES Chemin des Garniers","NANTES Chemin des Feux Follets","1","2","19","16"
"Rue","Rue Félix Faure","Faure","PUBLIQUE","NANTES","3062","NANTES Rue des Hauts Pavés","NANTES Boulevard Lelasseur","1","2","83","72"
"Quai","Quai Fernand Crouan","Crouan","PUBLIQUE","NANTES","3119","NANTES Quai Fernand Crouan","","","","",""
"Place","Place Fernand Soil","Soil","PUBLIQUE","NANTES","3126","NANTES Rue Saint Nicolas","NANTES Rue de la Clavurerie","","","",""
"Avenue","Avenue Flora Tristan","Tristan","PUBLIQUE","NANTES","3167","NANTES Route de Paris","","1","","1",""
